"Name","Abundance in Blood (uM)","Melting Point (°C)","Boiling Point (°C)","Solubility (mg/mL)","LogP","Monoisotopic Molecular Weight (Da)"
"1-Methylhistidine","7.7 +/- 1.9","249 °C","N/A","200 g/kg","-2.95","169.085126611"
"1,3-Diaminopropane","0.04 +/- 0.03","-12 °C","139.80 °C. @  760.00 mm Hg","1e+006 mg/L @ 25 °C (est)","-1.43","74.08439833"
"2-Ketobutyric acid","3.33 +/- 5.00","33 °C","N/A","119 mg/mL","0.07","102.031694058"
"2-Hydroxybutyric acid","8.00-80.0","44.2 °C","N/A","484 g/L","-0.16","104.047344118"
"3-Hydroxybutyric acid","60.0 +/- 20.0","49 - 50 °C","N/A","539 g/L","-0.50","104.047344122"
"Deoxyuridine","<0.1","167 °C","N/A","90.6 g/L","-1.51","228.074621504"
"Deoxycytidine","0.2 (0.0-0.5)","207 - 210 °C","N/A","870 mg/mL","-1.77","227.090605919"
"Cortexolone","0.0039 +/- 0.0004","215 °C","N/A","0.025 g/L","3.08","346.214409448"
"Deoxycorticosterone","0.073 (0.034-0.11)","141 - 142 °C","N/A","0.0595 mg/mL at 37 °C","2.88","330.219494826"
"4-Pyridoxic acid","0.027 (0.0062-3.14)","247 - 248 °C","N/A","4337 mg/L @ 25 °C (est)","-0.08","183.053157781"
"alpha-Ketoisovaleric acid","14.0 (0.0-28.0)","31.5 °C","N/A","30.2 g/L","0.49","116.047344122"
"p-Hydroxyphenylacetic acid","6.346 +/- 0.518","148 - 150 °C","N/A","60.7 mg/mL","0.75","152.047344122"
"Iodotyrosine","0.00069 +/- 0.00020","205 °C","N/A","3 mg/mL","-1.51","306.970536611"
"3-Methoxytyramine","0.0025 (0.0016-0.0029)","N/A","N/A","5.36 g/L","-0.08","167.094628665"
"(S)-3-Hydroxyisobutyric acid","21.0 +/- 2.0","N/A","N/A","571 g/L","-0.47","104.047344122"
"Tetrahydrobiopterin","0.0110 +/- 0.0008","250 - 255 °C (hydrochloride salt)","N/A","2.03 g/L","-1.66","241.117489371"
"Biotin","0.0034 (0.002 - 0.0051)","232 °C","N/A","0.22 mg/mL at 25 °C","0.17","244.088163078"
"Androsterone","0.00065 (0.00053-0.00088)","185 °C","N/A","0.012 mg/mL at 23 °C","3.69","290.224580204"
"7-Dehydrocholesterol","<0.65","150.5 °C","N/A","1 mg/mL","7.30","384.33921603"
"Carnosine","0.00-0.10","253 - 256 °C","N/A","384 mg/mL","-2.96","226.106590334"
"Adenine","0.3 +/-  0.1","360 °C","N/A","1.03 mg/mL","-0.09","135.054495185"
"Taurocholic acid","0.38 +/- 0.20","125 °C","N/A","0.077 g/L","0.79","515.291673489"
"Aldosterone","0.000139-0.00486","166.5 °C","N/A","0.0512 mg/mL at 37 °C","1.08","360.193674006"
"Dihydrobiopterin","0.006 +/- 0.0003","N/A","N/A","1.63 g/L","-1.43","239.101839307"
"Butyric acid","1.0 (0.3- 1.5)","-5.7 °C","N/A","60.0 mg/mL","0.79","88.0524295"
"Acetic acid","30.4 (22.0-40.0)","16.6 °C","N/A","1000.0 mg/mL","-0.17","60.021129372"
"Betaine","26-67","293 - 301 °C","N/A","611.0 mg/mL at 19 °C","-2.12","118.086803633"
"Ascorbic acid","88.6 (21.0 - 171.0)","191 °C","552.67 °C. @  760.00 mm Hg (est)","400 mg/mL at 40 °C","-1.85","176.032087988"
"Adenosine monophosphate","5.1+/- 1.3","195 °C","N/A","10 mg/mL at 20 °C","-3.13","347.063084339"
"Adenosine","0.505 +/- 0.142","235.5 °C","N/A","37 mg/mL","-1.05","267.096753929"
"Ammonia","<50","-77.7 °C","N/A","482 mg/mL at 24 °C","-0.98","17.026549101"
"Argininosuccinic acid","<2","N/A","N/A","0.46 g/L","-3.25","290.122634328"
"Androstenedione","0.000698","170 - 173 °C","N/A","0.0578 mg/mL","2.75","286.193280076"
"Bilirubin","13.0 (5.0-21.0)","N/A","N/A","0.009 mg/mL at 25 °C","3.22","584.263484904"
"beta-Alanine","3.0 (1.3-20.0)","200 °C","N/A","545.0 mg/mL","-3.05","89.047678473"
"Cyclic AMP","0.0085 +/- 0.0005","219 - 220 °C","N/A","4 mg/mL","-2.96","329.052519653"
"Acetoacetic acid","21.0 (0.0-86.0)","36.5 °C","237.00 to  239.00 °C. @  760.00 mm Hg","1000 mg/mL at 20 °C","-0.467 (est)","102.031694058"
"L-Carnitine","29.74 +/- 7.55","197 °C","N/A","5.33 g/L","-2.90","162.113018383"
"Cortisol","0.287 +/- 0.099","220 °C","N/A","0.32 mg/mL","1.61","362.20932407"
"Creatine","54.8 +/-  21.0","303 °C","N/A","13.3 mg/mL at 18 °C","-1.59","131.069476547"
"Cholesterol",">6207.108","148 °C","N/A","9.5e-05 mg/mL","7.02","386.354866094"
"Epinephrine","0.00164 +/- 0.00012","211.5 °C","N/A","0.18 mg/mL","-1.37","183.089543287"
"Pipecolic acid","2.46 +/- 1.26","264 °C","N/A","314 mg/mL","-2.31","129.078978601"
"Dopamine","< 0.00013","128 °C","N/A","535 mg/mL","-0.98","153.078978601"
"Dihydrouracil","0.31 (0.02-1.63)","279 - 281 °C","N/A","25.9 g/L","-1.28","114.042927446"
"Dehydroepiandrosterone","0.00173-0.0264","140 - 141 °C","N/A","0.0635 mg/mL","3.23","288.20893014"
"Cysteinylglycine","65.7 +/- 4.6","N/A","N/A","6.25 g/L","-2.59","178.041212886"
"Deoxyguanosine","0","300 °C","N/A","11.5 g/L","-1.30","267.096753929"
"Glycerophosphocholine","34.0 +/- 5.0","142.5 °C","N/A","8.96 g/L","-2.56","257.102824366"
"Dimethylamine","20.18 (3.33-53.22)","-92.2 °C","N/A","1630 mg/mL at 40 °C","-0.38","45.057849229"
"Cytidine","0.25 +/- 0.19","230.5 °C","N/A","43.8 g/L","-2.51","243.085520541"
"Dimethylglycine","1-5","185.5 °C","N/A","939 g/L","-2.91","103.063328537"
"Citric acid","54.2 +/- 0.8","153 °C","N/A","592.0 mg/mL","-1.64","192.02700261"
"Choline","6.0 +/- 0.3","302 - 303 °C (chloride salt)","N/A","3.61 g/L","-3.59","104.107539075"
"D-Xylose","3088.7 +/- 527.9","90.5 °C","N/A","555.0 mg/mL","-2.57","150.05282343"
"L-Cystathionine","0.329 (0.150-0.661)","312 °C","N/A","22 mg/mL","-4.01","222.067427636"
"Galactitol","0.82 (0.05 - 2.63)","189.5 °C","N/A","31,0 mg/mL at 15 °C","-3.10","182.07903818"
"Ethanol","40.0 (0.0-80.0)","-114.1 °C","N/A","1000.0 mg/mL","-0.31","46.041864814"
"gamma-Aminobutyric acid","0.110 +/- 0.023","203 °C","N/A","1300.0 mg/mL","-3.17","103.063328537"
"Glycolic acid","50-123","75 - 80 °C","N/A","608 g/L","-1.11","76.016043994"
"Homovanillic acid","0.082 +/- 0.050","138 - 140 °C","N/A","17 mg/mL","0.33","182.057908808"
"Glyoxylic acid","3.05 (0.25–12.78)","-93 °C","N/A","224 g/L","-0.59","74.00039393"
"Folic acid","0.021 (0.017-0.025)","250 °C","N/A","0.0016 mg/mL","-0.04","441.139681375"
"D-Glucose","3100-5600","146 - 150 °C","N/A","1200.0 mg/mL","-3.24","180.063388116"
"Glycine","242.0 +/- 44.0","262.2 °C","N/A","249.0 mg/mL","-3.21","75.032028409"
"Fructose 6-phosphate","9.9 +/- 2.3","N/A","N/A","911 mg/mL","-1.86","260.029718526"
"Glutathione","4.35 +/- 2.10","195 °C","N/A","292.5 mg/mL","-2.74","307.083805981"
"Glycerol 3-phosphate","30.0 +/- 3.0","102 - 104 °C","N/A","1000.0 mg/mL","-1.84","172.013674532"
"D-Glucuronic acid","165.0 +/- 32.0","143 - 144 °C","N/A","485 mg/mL","-2.57","194.042652674"
"Guanidoacetic acid","2.8 +/- 0.9","N/A","N/A","3.6 mg/mL at 15 °C","-1.76","117.053826483"
"Homogentisic acid","0.043 (0.014 - 0.071)","153 °C","N/A","850 mg/mL at 25 °C","0.86","168.042258744"
"Glycerol","40.0 +/- 19.0","20 °C","N/A","1000.0 mg/mL","-1.76","92.047344122"
"Guanosine","0.8 +/- 0.5","239 °C","N/A","0.7 mg/mL at 18 °C","-1.90","283.091668551"
"Fumaric acid","1.5 (0.0-4.0)","549 °C","N/A","7.0 mg/mL","0.46","116.010958616"
"Glycocholic acid","0.06 +/- 0.04","170 °C","N/A","0.0033 mg/mL","1.65","465.309038113"
"Glyceric acid","10.0 (0.0-24.0)","N/A","N/A","1000.0 mg/mL","-1.72","106.02660868"
"Formic acid","224.5 +/- 119.8","8.4 °C","N/A","1000.0 mg/mL","-0.54","46.005479308"
"D-Galactose","<440","170 °C","N/A","683.0 mg/mL","-2.57","180.063388116"
"Estrone","0.00017 +/- 0.000071","258 - 260 °C","N/A","0.03 mg/mL","3.13","270.161979948"
"L-Glutamic acid","15-80","N/A","N/A","8.57 mg/mL","-3.69","147.053157781"
"Ethanolamine","52.3 (26.2-91.7)","10.5 °C","N/A","1000.0 mg/mL","-1.31","61.052763851"
"Estradiol","0.000092","178.5 °C","N/A","0.0036 mg/mL","4.01","272.177630012"
"Gentisic acid","0.65 +/- 0.19","199.5 °C","N/A","5.0 mg/mL at 5 °C","1.74","154.026608673"
"Estriol","0.006 +/- 0.002","282 °C","N/A","0.12 g/L","2.45","288.172544634"
"Malic acid","12.0 (0.0-21.0)","107 °C","N/A","218 g/L","-0.87","134.021523302"
"Hypoxanthine","2.300 +/- 1.100","150 °C","N/A","0.7 mg/mL","-1.11","136.03851077"
"L-Tyrosine","54.5 +/- 9.7","343 °C","N/A","0.479 mg/mL","-2.26","181.073893223"
"L-Phenylalanine","78.1 +/- 20.5","283 °C","N/A","26.9 mg/mL","-1.38","165.078978601"
"L-Alanine","97-455","300 °C","N/A","204 mg/mL","-2.85","89.047678473"
"L-Proline","198.3 +/- 64.8","221 °C","N/A","162.0 mg/mL","-2.54","115.063328537"
"Methylamine","1.0 (0.37-4.0)","-93.4 °C","N/A","1080 mg/mL at 25 °C","-0.57","31.042199165"
"L-Threonine","127.7 +/- 41","256 °C","N/A","97.0 mg/mL","-2.94","119.058243159"
"L-Asparagine","36-87","234 - 235 °C","N/A","29.4 mg/mL","-3.82","132.053492132"
"D-Mannose","39.0 +/- 7.0","132 °C","N/A","713.0 mg/mL at 17 °C","-2.57","180.063388116"
"L-Isoleucine","40.0 +/- 20.0","285.5 °C","N/A","35 mg/mL","-1.70","131.094628665"
"Inosinic acid","63.0 +/- 41.0","N/A","N/A","3.05 g/L","-2.04","348.047099924"
"L-Histidine","75.0 +/- 20.0","287 °C","N/A","45.6 mg/mL","-3.32","155.069476547"
"L-Dopa","0.00723 +/- 0.00097","285 °C","N/A","5.0 mg/mL","-2.39","197.068807845"
"L-Lysine","190.0 +/- 60.0","224.5 °C","N/A","1000.0 mg/mL","-3.05","146.105527702"
"L-Serine","62-161","228 °C","N/A","425.0 mg/mL","-3.07","105.042593095"
"L-Lactic acid","<2100","16.8 °C","N/A","562 g/L","-0.47","90.031694058"
"L-Aspartic acid","21.0 +/- 5.0","270 °C","N/A","5.39 mg/mL","-3.89","133.037507717"
"L-Cystine","17-98","260.5 °C","N/A","0.19 mg/mL","-5.08","240.023848262"
"Isocitric acid","6.0 (0.0-10.0)","162 - 165 °C","N/A","466 mg/mL","-0.35","192.02700261"
"Anserine","41.0 +/- 10.0","226 - 228 °C","611.30 °C. @  760.00 mm Hg (est)","1.575e+004 mg/L @ 25 °C (est)","-2.220 (est)","240.122240398"
"Inosine","0.20 +/- 0.07","218 °C","N/A","15.8 mg/mL","-2.10","268.080769514"
"Indoleacetic acid","2.85 +/- 1.71","168.5 °C","N/A","1.5 mg/mL","1.41","175.063328537"
"L-Acetylcarnitine","5.48 +/- 2.15","145 °C","N/A","1e+006 mg/L @ 25 °C (est)","-4.031 (est)","204.123583069"
"Methylmalonic acid","0.14 (0.04-0.26)","135 °C","N/A","679.0 mg/mL","0.17","118.02660868"
"Phenylpyruvic acid","0.5 +/- 0.1","154 °C","N/A","112 mg/mL","1.9","164.047344122"
"Oleic acid","11.42 +/- 1.67","13.4 °C","N/A","1.210E-04 g/L","7.68","282.255880332"
"Oxoglutaric acid","7.0 (0.0-23.0)","115.5 °C","N/A","541.5 mg/mL","-0.60","146.021523302"
"Phenylacetic acid","47.24 +/- 5.866","76.7 °C","N/A","16.6 mg/mL","1.41","136.0524295"
"Pantothenic acid","2.86 +/- 0.94","< 25 °C","N/A","1000.0 mg/mL","-1.12","219.110672659"
"myo-Inositol","17.1","225 °C","N/A","143 mg/mL at 19 °C","-2.59","180.063388116"
"Ornithine","55.0 (39.0-71.0)","140 °C","N/A","620 mg/mL","-4.22","132.089877638"
"Norepinephrine","0.0070 (0.0034-0.011)","145.2 - 146.4 °C","N/A","849 mg/mL","-1.24","169.073893223"
"NADP","19.6 (18.3 - 20.8)","N/A","N/A","4.15 g/L","-0.81","743.075452041"
"Palmitic acid","122 +/- 48","61.8 °C","N/A","4e-05 mg/mL","7.17","256.240230268"
"NADPH","51.0 (34.0-81.0)","N/A","N/A","5.45 g/L","-1.13","745.091102105"
"Palmitoylcarnitine","0.153 (0.073-0.227)","N/A","N/A","1.200E-05 g/L","1.77","400.342135385"
"O-Phosphoethanolamine","19 +/- 9.9","241 - 243 °C","N/A","72 mg/mL","-1.54","141.019094261"
"Orotic acid","0.89 +/- 0.63","345.5 °C","656.00 to  657.00 °C. @  760.00 mm Hg (est)","1.82 mg/mL at 18 °C","-0.83","156.017106626"
"Mevalonic acid","0.028 +/- 0.006","24 - 27 °C","N/A","414 g/L","-0.90","148.073558872"
"Phenol","6.38 +/- 2.13","40.9 °C","N/A","82.8 mg/mL at 25 °C","1.46","94.041864814"
"N-Acetylneuraminic acid","2.0 (1.0-3.0)","186 °C","N/A","227 g/L","-2.78","309.105981211"
"Quinolinic acid","0.599 +/- 0.299","190 °C","N/A","11.0 mg/mL","0.15","167.021857653"
"Testosterone","0.00260-0.0139","155 °C","N/A","0.0234 mg/mL","3.32","288.20893014"
"Thiamine","0.34 (0.14-0.79)","248 °C","N/A","500.0 mg/mL","-2.11","265.112306876"
"Propionic acid","1.6 +/- 1.2","-20.7 °C","N/A","1000.0 mg/mL","0.33","74.036779436"
"Pyridoxine","0.025 (0.007-0.060)","159 - 162 °C","N/A","79 mg/mL","-0.77","169.073893223"
"Sulfite","1.23 +/- 0.48","N/A","N/A","558.5 mg/mL","-1.2","81.97246462"
"Protoporphyrin IX","0.66 +/- 0.18","300 °C","N/A","0.169 mg/mL at 25 °C","4.40","562.258005596"
"Pyruvic acid","34.5 +/- 25.2","13.8 °C","N/A","1000.0 mg/mL","-0.38","88.016043994"
"Riboflavin","0.845 (0.361-1.77)","290 °C","N/A","0.0847 mg/mL","-1.46","376.138284392"
"Porphobilinogen","0.06 (0.00-0.12)","N/A","N/A","2.72 g/L","-2.40","226.095356946"
"Sorbitol","1.09 +/- 0.37","11 °C","N/A","2750.0 mg/mL","-2.20","182.07903818"
"Thyroxine","0.000009 - 0.000023","235.5 °C","N/A","0.009 g/L","1.15","776.686681525"
"Pyrophosphate","1.8 (0.64-2.96)","61 °C","N/A","N/A","-1.4","177.943225506"
"Taurine","0-360","300 °C","N/A","80.7 mg/mL","-2.19","125.014663785"
"Sphingosine","0.050 +/- 0.0013","81 °C","N/A","0.0039 g/L","5.15","299.282429433"
"Pregnenolone","0.00474-0.0632","192 °C","N/A","0.00706 mg/mL at 37 °C","4.22","316.240230268"
"Succinic acid","16.0 (0.00-32.0)","185 - 188 °C","N/A","83.2 mg/mL","-0.59","118.02660868"
"Squalene","2.22 +/- 0.063","-75 °C","N/A","5.020E-04 g/L","8.64","410.39125161"
"Thiosulfate","100.8 +/- 9.811","48 °C","N/A","861 mg/mL","-0.096","113.94453531"
"Sucrose","1.8 +/- 1.2","185.5 °C","N/A","2100.0 mg/mL","-3.70","342.116211546"
"Serotonin","0.85 +/- 0.077","N/A","N/A","25.5 mg/mL","0.21","176.094963016"
"Phosphoenolpyruvic acid","7.6 +/- 2.9","N/A","N/A","13.2 g/L","-1.22","167.982374404"
"Liothyronine","0.0029 +/- 0.00019","N/A","N/A","0.02 g/L","0.82","650.790038137"
"Pyroglutamic acid","19.5 +/- 3.7","N/A","N/A","476.0 mg/mL at 13 °C","-1.01","129.042593095"
"Sphinganine","0.011 +/- 0.00033","N/A","N/A","0.0045 g/L","5.20","301.298079497"
"Sarcosine","0","208 °C","N/A","300.0 mg/mL","-2.78","89.047678473"
"Phosphoserine","17.0 +/- 3.0","170 - 171 °C","N/A","71 mg/mL","-2.32","185.008923505"
"Thymidine","0.2","N/A","N/A","73.5 mg/mL","-0.93","242.090271568"
"Sphingosine 1-phosphate","0.308 +/- 0.010","N/A","N/A","0.0065 g/L","3.73","379.248759843"
"Phosphoribosyl pyrophosphate","5.72 +/- 0.86","N/A","N/A","11.6 g/L","-0.74","389.95181466"
"D-Ribose","2.3 (0.0-5.0)","95 °C","N/A","1070 g/L","-2.32","150.05282343"
"Uridine diphosphate glucose","155.0 +/- 113.0","N/A","N/A","15 g/L","-1.43","566.055020376"
"Uridine 5'-monophosphate","184.0 +/- 127.0","N/A","N/A","12 g/L","-1.76","324.035866536"
"Uric acid","279.578 +/- 23.794","> 300 °C","N/A","0.06 mg/mL","-2.17","168.028340014"
"Vanillylmandelic acid","0.035 +/- 0.008","132 - 134 °C","N/A","5.16 g/L","0.94","198.05282343"
"Xanthine","<1.00","> 300 °C","N/A","0.069 mg/mL at 16 °C; 9.5 mg/mL (sodium salt)","-0.73","152.033425392"
"Urea","6074.6 +/- 2154.2","132 °C","N/A","545.0 mg/mL","-2.11","60.03236276"
"Uridine 5'-diphosphate","41.0 +/- 12.0","N/A","N/A","8.89 g/L","-0.94","404.002196946"
"Uridine","3.10 (2.90-3.30)","163 °C","N/A","135 g/L","-1.98","244.069536126"
"Xanthosine","5.08 +/- 0.30","N/A","N/A","27.8 g/L","-1.60","284.075684136"
"Uracil","0.17 (0.097-0.26)","330 °C","N/A","3.6 mg/mL","-1.07","112.027277382"
"Urocanic acid","0.43 +/- 0.33","225 °C","N/A","1.5 mg/mL at 17 °C","0.22","138.042927446"
"Vitamin A","0.78 +/- 0.33","61 - 63 °C","N/A","0.0076 g/L","5.68","286.229665582"
"Tyramine","0.0095 +/- 0.0021","164 - 165 °C","N/A","10.4 mg/mL at 15 °C","-0.14","137.084063979"
"16-a-Hydroxypregnenolone","16.1 +/- 2.3","N/A","N/A","0.057 g/L","2.79","332.23514489"
"2-Hydroxy-3-methylpentanoic acid","<0.7","N/A","N/A","149 g/L","0.74","132.07864425"
"3,4-Dihydroxyphenylglycol","0.008 +/- 0.005","130 - 132 °C","N/A","16.7 g/L","-1.01","170.057908808"
"18-Hydroxycorticosterone","0.000550-0.00138","N/A","N/A","0.15 g/L","1.28","362.20932407"
"18-Oxocortisol","0.000827 +/- 0.00004","N/A","N/A","0.78 g/L","0.82","376.188588628"
"16a-Hydroxyestrone","0.00078 (0.00076-0.00081)","N/A","N/A","0.047 g/L","2.45","286.15689457"
"(R)-3-Hydroxyisobutyric acid","21.0 +/- 2.0","N/A","N/A","571 g/L","-0.47","104.047344122"
"(S)-3,4-Dihydroxybutyric acid","18.0 (0.0-54.0)","N/A","N/A","832 g/L","-1.54","120.042258744"
"2-Hydroxyestrone","0.00024 (0.00017-0.00033)","N/A","N/A","0.023 g/L","3.03","286.15689457"
"3-Hydroxysebacic acid","0.65(0.32-1.2)","N/A","N/A","3.38 g/L","0.63","218.11542368"
"2,4-Dihydroxybutanoic acid","2.0 (0.0-7.0)","N/A","N/A","700 g/L","-1.46","120.042258744"
"2-Phosphoglyceric acid","1.6 +/- 2.5","N/A","N/A","20.3 g/L","-2.24","185.99293909"
"17a-Hydroxypregnenolone","0.00180-0.00451","266 - 271 °C","N/A","0.038 g/L","3.15","332.23514489"
"Epiandrosterone","2.9 (2.65-4.19)","178 °C","N/A","0.0202 mg/mL at 23 °C","3.71","290.224580204"
"3b,17b-Dihydroxyetiocholane","0.12 (0.078-0.34)","N/A","N/A","0.019 g/L","3.56","292.240230268"
"17-Hydroxyprogesterone","0.000212-0.00233","219 - 220 °C","N/A","0.00648 mg/mL","3.17","330.219494826"
"3-(3-Hydroxyphenyl)propanoic acid","0.056 +/- 0.015","N/A","N/A","1.737e+004 mg/L @ 25 °C (est)","1.14","166.062994186"
"2-Methylcitric acid","0.1 (0.08-0.26)","N/A","N/A","175 g/L","-0.89","206.042652674"
"3-Hydroxydodecanoic acid","0.3 (0.2-0.6)","N/A","N/A","0.34 g/L","N/A","216.172544633"
"3-Hydroxytetradecanedioic acid","0.21(0.068-0.54)","N/A","N/A","0.29 g/L","2.03","274.178023942"
"2-Pyrocatechuic acid","0.129 +/- 0.034","204.00 to  208.00 °C. @  760.00 mm Hg","362.00 to  363.00 °C. @  760.00 mm Hg (est)","2.612e+004 mg/L @ 25 °C (est)","1.20","154.026608673"
"2-Methoxyestradiol","0.01000 +/- 0.00066","189 - 190 °C","N/A","0.0097 g/L","3.70","302.188194698"
"2-Hydroxy-3-methylbutyric acid","13.7 +/- 6.3","N/A","N/A","350 mg/mL","0.10","118.062994186"
"3-Hydroxydodecanedioic acid","0.61(0.39-1.1)","N/A","N/A","0.83 g/L","1.49","246.146723814"
"17-Hydroxypregnenolone sulfate","2.0 (1.56-5.03)","N/A","N/A","0.02 g/L","0.37","412.191959446"
"18-Hydroxycortisol","0.003290 +/- 0.000175","N/A","N/A","1.34 g/L","0.65","378.204238692"
"3,4-Dihydroxyhydrocinnamic acid","0.029 +/- 0.01","136 °C","N/A","428 mg/mL","1.04","182.057908808"
"3-Hydroxyglutaric acid","0.15 +/- 0.08","N/A","N/A","172 g/L","-1.17","148.037173366"
"17alpha-Estradiol","0.3200 +/- 0.0001","216 - 219 °C","N/A","0.0039 mg/mL","3.57","272.177630012"
"24,25-Dihydroxyvitamin D","0.0043 +/- 0.0014","N/A","N/A","0.0084 g/L","5.47","416.329045274"
"Homoveratric acid","0.687 +/- 0.175","96 °C","N/A","1.21 g/L","1.58","196.073558872"
"3-Hydroxyphenylacetic acid","0.012 +/- 0.01","129 °C","N/A","1000.0 mg/mL","0.85","152.047344122"
"(S)-3-Hydroxybutyric acid","20.0 (19.0 - 23.0)","45 - 48 °C","N/A","539 g/L","-0.50","104.047344122"
"Adipic acid","0.09 +/- 0.010","151 - 154 °C","265.00 °C. @  100.00 mm Hg","30.8 mg/mL at 34 °C","0.08","146.057908808"
"5-Hydroxylysine","0-2.5","N/A","N/A","23 mg/mL","-3.77","162.100442324"
"L-alpha-Aminobutyric acid","23.0 (15.0-31.0)","291 °C","N/A","1.438e+005 mg/L @ 25 °C (est)","-3.17","103.063328537"
"Allantoin","2.1 +/- 1.1","239 °C","N/A","5.26 mg/mL","-1.523 (est)","158.043990078"
"Calcium","1536 +/- 141","850 °C","N/A","N/A","-0.57","39.962591155"
"Biopterin","0.017 +/- 0.0025","N/A","N/A","0.7 mg/mL","-1.41","237.086189243"
"5-Hydroxy-L-tryptophan","0.018 +/- 0.0027","293 - 298 °C","520.60 °C. @  760.00 mm Hg (est)","3.15e+004 mg/L @ 25 °C (est)","-2.051","220.08479226"
"3-Methylhistidine","2.7 (0.0-5.9)","N/A","N/A","200 mg/mL at 25 °C","-2.89","169.085126611"
"Allopurinol riboside","5.0 (0.05-10.0) ","N/A","N/A","14.8 g/L","-1.70","268.080769514"
"Caprylic acid","2.5 (0.0-5.0)","16.5 °C","N/A","0.789 mg/mL","3.05","144.115029756"
"Vanillic acid","4.8 (2.0-8.1)","211.5 °C","353.43 °C. @  760.00 mm Hg (est)","1.5 mg/mL at 14 °C","1.43","168.042258738"
"Etiocholanolone","0.0012 +/- 0.00013","152 - 154 °C","N/A","0.0063 g/L","3.71","290.224580204"
"3-Methyl-2-oxovaleric acid","18.0 (8.0-31.0)","N/A","N/A","915.5 mg/mL","1.00","130.062994186"
"Chloride ion","94000-104000","-101 °C","N/A","6.3 mg/mL at 25 °C","0.61","34.968852707"
"5alpha-Androstane-3beta,17beta-diol","0.000149 (0.000057-0.00025)","N/A","N/A","3 mg/mL","3.56","292.240230268"
"Stigmastanol","2.8 +/- 8.8","144 °C","N/A","1.140E-05 g/L","7.23","416.401816294"
"5-Tetradecenoic acid","1.5 (0.6 - 2.3)","N/A","N/A","0.0018 g/L","5.77","226.193280076"
"4-Hydroxybenzoic acid","2.447 +/- 0.192","213.00 to  215.00 °C. @  760.00 mm Hg","334.00 to  335.00 °C. @  760.00 mm Hg","5.0 mg/mL","1.58","138.031694053"
"7-Ketocholesterol","0.033 +/- 0.018","168 - 170 °C","N/A","2.080E-04 g/L","5.80","400.334130652"
"Ribitol","2.5 (0.0 - 5.0)","102 - 105 °C","494.50 °C. @  760.00 mm Hg (est)","936 mg/mL","-3.770 (est)","152.068473494"
"Aminoadipic acid","2.0 (0.0-5.0)","196 - 198 °C","N/A","2.2 mg/mL","-3.43","161.068807845"
"Capric acid","11.0 (5.0-17.0)","31.9 °C","268.00 to  270.00 °C. @  760.00 mm Hg","0.0618 mg/mL","4.09","172.146329884"
"L-Arginine","129.5 +/- 30","222 °C","N/A","182 mg/mL at 25 °C","-4.20","174.111675712"
"Chenodeoxycholic acid","0.98 +/- 0.66","165 - 167 °C","N/A","0.0899 mg/mL","4.15","392.292659768"
"5Z-Tetradecenoic acid","1.5 (0.6 - 2.3)","N/A","N/A","0.9431 mg/L @ 25 °C (est)","5.77","226.193280076"
"3-Hydroxyvaleric acid","1.0 (0.0-2.0)","N/A","253.30 °C. @  760.00 mm Hg (est)","7.848e+005 mg/L @ 25 °C (est)","-0.610 (est)","118.062994186"
"Acetylglycine","69.7","207 - 209 °C","N/A","26.3 mg/mL at 15 °C","-0.89","117.042593095"
"Campestanol","2.5 +/- 2.5","N/A","N/A","1.310E-05 g/L","6.86","402.386166222"
"Caproic acid","17 (0-105)","-4.00 to   -3.00 °C. @  760.00 mm Hg","202.00 to  203.00 °C. @  760.00 mm Hg","10.3 mg/mL","1.92","116.083729628"
"Adenosine triphosphate","1077.0 +/- 210.0","N/A","N/A","1000.0 mg/mL; 862 mg/mL (magnesium salt)","-0.84","506.995745159"
"Epietiocholanolone","0.000017 (0.000011-0.000067)","154 - 155 °C","N/A","0.0063 g/L","3.71","290.224580204"
"Magnesium","717 +/- 74.3","651 °C","N/A","N/A","-0.57","23.985041898"
"gamma-Butyrolactone","0.28 +/- 0.16","-45 °C","204.00 to  205.00 °C. @  760.00 mm Hg","1000.0 mg/mL","-0.64","86.036779436"
"Etiocholanediol","0.000067 (0.000045-0.00012)","N/A","N/A","0.019 g/L","3.56","292.240230268"
"3-Methylglutarylcarnitine","0.0000-0.140","N/A","N/A","0.066 g/L","-1.75","289.152537465"
"Dihydroandrosterone","0.000475 (0.000352-0.000548)","219 - 221 °C","N/A","0.019 g/L","3.56","292.240230268"
"L-Alloisoleucine","0-4","60 - 64 °C","N/A","34.4 mg/mL at 25 °C","-1.70","131.094628665"
"beta-Carotene","0.133","183 °C","654.00 to  657.00 °C. @  760.00 mm Hg","0.6 mg/mL","14.764 (est)","536.438201803"
"Creatinine","82.6 +/- 26.2","303 °C (decomposes)","N/A","80.1 mg/mL at 16 °C","-1.76","113.058911861"
"PC(16:0/16:0)","584.557 +/- 134.506","N/A","N/A","2.400E-05 g/L","5.29","733.562155053"
"Galactonic acid","2.00 (0.69 - 3.84)","133 - 136 °C","N/A","159 g/L","-2.57","196.058302738"
"Cinnamic acid","0.168 +/- 0.044","132 - 135 °C","265.00 to  266.00 °C. @  760.00 mm Hg (est)","0.57 mg/mL at 25 °C","2.13","148.0524295"
"D-Arabitol","3 (0-5)","101 - 104 °C","494.53 °C. @  760.00 mm Hg (est)","729 mg/mL","-3.774 (est)","152.068473494"
