"Name","Abundance in Blood (uM)","Melting Point (°C)","Boiling Point (°C)","Solubility (mg/mL)","LogP","Monoisotopic Molecular Weight (Da)"
"Atorvastatin","0.010 +/- 0.0044","159.1 - 190.6 °C","N/A","6.300E-04 g/L","4.24","558.253000445"
"Simvastatin","0.044 +/- 0.011","135 - 138 °C","N/A","1.22e-02 g/L","4.68","418.271924326"
"Sertraline","0.15 (0.00032-0.32)","N/A","N/A","1.450E-04 g/L","5.06","305.073804963"
"Celecoxib","0.0257 +/- 1.33","101.7 - 103.9 °C","N/A","0.005 g/L","3.99","381.075882012"
"Gabapentin","0.31 +/- 0.012","165 - 167 °C","N/A","4.34 g/L","-1.10","171.125928793"
"Venlafaxine","2.0 (0.02-4.5)","74 - 76 °C","N/A","0.23 g/L","2.69","277.204179113"
"Pantoprazole","10.0 +/- 0.002","N/A","N/A","0.5 g/L","2.11","383.075133083"
"Topiramate","1.47 +/- 0.03","125 - 126 °C","N/A","6.8 g/L","1.29","339.098787343"
"15(S)-Hydroxyeicosatrienoic acid","0.000253 +/- 0.000018","N/A","N/A","9.020E-04 g/L","6.20","322.250794954"
"(9E,11E)-Octadecadienoic acid","19.3 +/- 3.9","N/A","N/A","1.480E-04 g/L","7.11","280.240230268"
"10-Nitrolinoleic acid","0.079 +/- 0.035","N/A","N/A","0.0014 g/L","5.28","325.225308485"
"Enterodiol","0.0014","N/A","N/A","0.025 g/L","1.91","302.151809192"
"Eicosadienoic acid","0.418 +/- 0.162","N/A","462.10 °C. @  760.00 mm Hg (est)","0.001507 mg/L @ 25 °C (est)","6.251","308.271530396"
"Oleoylcarnitine","0.040-0.210","N/A","N/A","6.670E-06 g/L","N/A","426.35778545"
"Tetradecanoylcarnitine","0.04 +/- 0.01","N/A","N/A","1.690E-05 g/L","0.86","372.310835257"
"Leukotriene B5","0.000079 +/- 0.000006 ","N/A","N/A","0.016 g/L","2.895","334.214409448"
"15-Deoxy-d-12,14-PGJ2","0.000083 +/- 0.000003","N/A","N/A","0.003 g/L","3.983","316.203844762"
"5-HEPE","0.00067 +/- 0.000121","N/A","N/A","0.0029 g/L","5.54","318.219494826"
"8-Isoprostaglandin F2a","0.000957 +/- 0.00102 ","N/A","N/A","0.12 g/L","2.183","354.240624198"
"6-trans-Leukotriene B4","0.00011 +/- 0.00003","N/A","N/A","0.015 g/L","3.58","336.230059512"
"6-trans-12-epi-Leukotriene B4","0.000097 +/- 0.000037","N/A","N/A","0.015 g/L","3.58","336.230059512"
"11-trans-Leukotriene C4","0.000009 +/- 0.000002","N/A","N/A","0.0025 g/L","-0.571","625.303300807"
"N-Arachidonoylglycine","1.09 +/- 0.73","N/A","N/A","3.610E-04 g/L","4.043","361.261693991"
"Thromboxane B3","0.000017 +/- 0.000003","N/A","N/A","0.27 g/L","1.23","368.219888756"
"Prostaglandin D1","0.00001 +/- 0.000001","N/A","N/A","0.076 g/L","3.172","354.240624198"
